京都市,detected_by,input_type,url,form_method,input_id,﻿prefecture,has_search,input_name,form_action
淡路市,html,hidden,https://www.city.awaji.lg.jp/,GET,q,兵庫県,TRUE,q,https://www.city.awaji.lg.jp/search.html
白石市,html,hidden,https://www.city.shiroishi.miyagi.jp/,GET,q,宮城県,TRUE,q,https://www.city.shiroishi.miyagi.jp/search.html
久万高原町,html,hidden,https://www.kumakogen.jp/,GET,q,愛媛県,TRUE,q,https://www.kumakogen.jp/search.html
大井町,html,hidden,https://www.town.oi.kanagawa.jp/,GET,q,神奈川県,TRUE,q,https://www.town.oi.kanagawa.jp/search.html
墨田区,html,hidden,https://www.city.sumida.lg.jp/,GET,,東京都,TRUE,q,https://www.city.sumida.lg.jp/gsearch/index.html
愛別町,html,search,https://www.town.aibetsu.hokkaido.jp/,GET,edit-keys,北海道,TRUE,keys,https://www.town.aibetsu.hokkaido.jp/search/node
当麻町,html,search,https://www.town.tohma.hokkaido.jp/,GET,edit-keys-button,北海道,TRUE,keys,https://www.town.tohma.hokkaido.jp/search/node
能代市,html,search,https://www.city.noshiro.lg.jp/,GET,q,秋田県,TRUE,q,https://www.google.co.jp/search
南九州市,html,search,https://www.city.minamikyushu.lg.jp/,GET,q2,鹿児島県,TRUE,q,https://www.city.minamikyushu.lg.jp/ai-search_result.html
清水町,html,search,https://www.town.shimizu.hokkaido.jp/,GET,search,北海道,TRUE,search,https://www.town.shimizu.hokkaido.jp/cgi-bin/mt/mt-search.cgi
佐那河内村,html,search,https://www.vill.sanagochi.lg.jp/,GET,search-box,徳島県,TRUE,q,https://www.vill.sanagochi.lg.jp/search.html
長崎県,html,search,https://www.pref.nagasaki.jp/,GET,search-m-text,長崎県,TRUE,q,https://www.pref.nagasaki.jp/search.html
岩内町,html,search,https://www.town.iwanai.hokkaido.jp/,GET,wp-block-search__input-1,北海道,TRUE,s,https://www.town.iwanai.hokkaido.jp/
佐井村,html,search,https://www.vill.sai.lg.jp/,GET,wp-block-search__input-1,青森県,TRUE,s,https://www.vill.sai.lg.jp/
売木村,html,search,https://www.urugi.jp/,GET,wp-block-search__input-2,長野県,TRUE,s,https://www.urugi.jp/
函館市,html,search,https://www.city.hakodate.hokkaido.jp/,GET,,北海道,TRUE,keyword,https://www.city.hakodate.hokkaido.jp/search.html
八峰町,html,search,https://www.town.happo.lg.jp/,GET,,秋田県,TRUE,keyword,https://www.town.happo.lg.jp/front/search
長洲町,html,search,https://www.town.nagasu.lg.jp/,GET,,熊本県,TRUE,keyword,https://www.town.nagasu.lg.jp/searches/
和水町,html,search,https://www.town.nagomi.lg.jp/,GET,,熊本県,TRUE,keyword,https://www.town.nagomi.lg.jp/searches/
紫波町,html,search,https://www.town.shiwa.iwate.jp/,GET,,岩手県,TRUE,keyword,https://www.town.shiwa.iwate.jp/searches/
矢巾町,html,search,https://www.town.yahaba.iwate.jp/,GET,,岩手県,TRUE,keyword,https://www.town.yahaba.iwate.jp/searches/
中頓別町,html,search,https://www.town.nakatombetsu.hokkaido.jp/,GET,,北海道,TRUE,q,https://ui.customsearch.ai/hosted-page
三島市,html,search,https://www.city.mishima.shizuoka.jp/,GET,,静岡県,TRUE,q,https://www.city.mishima.shizuoka.jp/search.html
